model,price,miles,listing_type,year
EX-T,16995,93065 ,Used,2016
Si,16977,103444 ,Used,2012
Touring,21998,13921 ,Used,2017
Hybrid Sedan,16000,73530 ,Used,2014
EX,22917,46106 ,Used,2017
EX,17997,60000 ,Used,2016
EX-T,15998,118000 ,Used,2016
EX,19780,52955 ,Used,2017
Sport,21500,104577 ,Used,2019
LX,18795,28615 ,Used,2016
Hybrid Sedan,11980,116961 ,Used,2012
LX,15980,121325 ,Used,2018
LX,17500,77233 ,Used,2017
Si,12300,120026 ,Used,2008
LX,11480,122039 ,Used,2013
EX-L,14300,119537 ,Used,2015
EX-L,15300,140829 ,Used,2016
LX,13999,99466 ,Used,2015
LX,10995,139765 ,Used,2014
Sport,27371,8670 ,Used,2021
Sport Touring,23995,71217 ,Used,2018
Si,12998,164970 ,Used,2013
Si,27998,33654 ,Used,2018
EX,11998,116218 ,Used,2012
EX-T,17998,95068 ,Used,2017
EX,9495,121563 ,Used,2007
LX,16995,61738 ,Used,2016
Si,9995,138440 ,Used,2006
EX,17777,88839 ,Used,2016
Sport,24999,20007 ,Used,2018
LX,6900,125791 ,Used,2007
Sport,19900,41690 ,Used,2019
LX,15955,100675 ,Used,2019
LX,12988,114200 ,Used,2013
Si,23499,79975 ,Used,2018
EX-T,18488,78370 ,Used,2017
Sport,26797,51061 ,Certified,2020
EX,23797,43366 ,Certified,2020
EX,28705,30397 ,Certified,2018
EX,23597,63913 ,Certified,2020
Sport,19995,80916 ,Used,2020
EX,25742,35792 ,Used,2020
EX,23498,48585 ,Used,2020
EX,24398,37295 ,Used,2020
LX,22699,48841 ,Used,2020
EX,23999,36339 ,Used,2020
EX,17899,45645 ,Used,2014
Sport,26899,7102 ,Used,2019
LX,27500,16990 ,Used,2022
EX,25790,18682 ,Used,2021
LX,10988,126999 ,Used,2012
LX,20987,59399 ,Used,2019
Sport,22860,47466 ,Used,2019
EX,20499,61388 ,Used,2018
Sport,23985,58797 ,Used,2019
LX,18985,22425 ,Used,2020
Sport,23985,31155 ,Used,2021
EX-L,19985,32780 ,Used,2019
LX,14985,48239 ,Used,2013
EX,17985,42589 ,Used,2018
EX,18985,53235 ,Used,2019
EX,17985,36981 ,Used,2018
LX,21985,31383 ,Used,2019
Sport,21985,31000 ,Used,2019
EX-T,13985,96832 ,Used,2016
LX,22985,36311 ,Used,2019
EX,24985,40170 ,Used,2020
EX,11991,113046 ,Used,2010
LX,10991,104242 ,Used,2009
EX,22991,98160 ,Used,2019
Natural Gas,11991,107722 ,Used,2012
LX,7995,135237 ,Used,2008
EX-L,7499,136660 ,Used,2009
LX,9995,149989 ,Used,2012
LX-P,17995,104000 ,Used,2018
Hybrid Sedan,5500,153928 ,Used,2005
EX,7995,106640 ,Used,2011
EX,17725,83978 ,Used,2015
Sport,29988,20424 ,Used,2022
Sport,24199,40587 ,Used,2019
EX-T,26998,19805 ,Used,2018
LX,21320,49200 ,Used,2021
Si,25998,65090 ,Used,2020
Si,15199,94908 ,Used,2013
EX,19983,77230 ,Used,2018
EX-T,19398,52010 ,Used,2017
Si,14199,115501 ,Used,2012
EX-L,19390,68448 ,Used,2014
LX,23698,29324 ,Used,2020
Touring,17395,82542 ,Used,2016
EX,23999,46275 ,Used,2018
LX,22922,32253 ,Used,2019
EX,17432,90108 ,Used,2014
LX,11999,109230 ,Used,2013
LX,13999,86598 ,Used,2013
EX,21995,107410 ,Used,2019
EX,19995,95575 ,Used,2014
EX-L,20829,106930 ,Used,2020
LX,25998,12751 ,Certified,2021
Sport,25987,22628 ,Certified,2020
Sport,30787,28920 ,Certified,2022
Sport,26802,24348 ,Certified,2020
LX,21751,66285 ,Used,2019
Touring,19500,60672 ,Used,2017
LX,23495,25197 ,Certified,2020
Sport,25701,27401 ,Certified,2020
EX,27998,12560 ,Certified,2021
LX,24684,18935 ,Certified,2020
Sport,30787,28920 ,Certified,2022
LX,20566,30106 ,Used,2020
LX,25998,12751 ,Certified,2021
EX,27931,34867 ,Certified,2020
Sport,25987,22628 ,Certified,2020
LX,20988,37789 ,Used,2018
EX,26988,19213 ,Certified,2021
Sport,25488,47660 ,Certified,2020
LX,24988,14658 ,Certified,2020
Sport,28988,10778 ,Used,2022
Sport,26988,21892 ,Certified,2020
Touring,19987,70498 ,Used,2016
Sport,27681,9036 ,Used,2022
EX,7995,143149 ,Used,2007
LX,8995,115922 ,Used,2009
LX,9495,106517 ,Used,2008
LX-S,11995,118996 ,Used,2009
LX,8995,117088 ,Used,2011
EX-L,14995,64619 ,Used,2012
LX,11995,57869 ,Used,2008
LX,6995,116867 ,Used,2003
EX,11995,112539 ,Used,2011
LX,14995,71659 ,Used,2013
EX,11995,135850 ,Used,2012
EX,8995,95526 ,Used,2006
EX,8995,116157 ,Used,2008
EX,11995,63291 ,Used,2008
EX,16995,81291 ,Used,2015
EX,11995,56486 ,Used,2007
EX,9995,96968 ,Used,2008
EX,11995,71502 ,Used,2009
LX,18999,47930 ,Used,2018
LX,18999,48820 ,Used,2018
LX,14999,85364 ,Used,2015
EX,20500,75104 ,Used,2018
LX,18995,37208 ,Used,2017
LX,9795,122437 ,Used,2012
LX,22785,46605 ,Used,2020
EX-L,18995,33806 ,Used,2013
LX,18995,60906 ,Used,2016
LX,23995,33287 ,Used,2017
LX,14995,88268 ,Used,2012
EX,16995,98309 ,Used,2013
EX-L,22995,59131 ,Used,2017
LX,20995,67053 ,Used,2019
LX,10995,117166 ,Used,2011
LX,23995,28003 ,Used,2020
EX,11995,91296 ,Used,2010
Sport,25995,13380 ,Used,2022
LX,9985,91523 ,Used,2009
Sport,34998,3940 ,Used,2022
LX,21997,41010 ,Used,2019
EX,21199,36869 ,Used,2019
LX,22189,19564 ,Used,2020
Sport Touring,24439,34594 ,Used,2018
Sport,22989,39523 ,Used,2021
LX,20989,37230 ,Used,2019
EX-L,14389,78652 ,Used,2015
Sport,25955,41497 ,Used,2020
Sport,27955,19626 ,Used,2022
LX,23955,17296 ,Used,2020
LX,23169,29092 ,Used,2020
Sport,26955,21824 ,Used,2020
Sport,23955,40706 ,Used,2019
EX-L,24995,32316 ,Used,2019
EX,24485,35802 ,Used,2019
LX,22486,27452 ,Used,2020
LX,20955,43199 ,Used,2020
LX,22955,29121 ,Used,2020
Sport,23795,41789 ,Used,2020
